Dataset,Model,Features,ICL Strategy,Reasoning,Accuracy (Depression),Macro F1 (Depression),Precision (Depression),Recall (Depression),Accuracy (Anxiety),Macro F1 (Anxiety),Precision (Anxiety),Recall (Anxiety),Accuracy (Stress),Macro F1 (Stress),Precision (Stress),Recall (Stress),Latency (sec),Cost ($),Input Token (Avg),Total Data Prep Time (sec),Mean ICL Sampling (sec),Throughput (Tokens/Sec),Throughput (Samples/Minute),Output Token (Avg),Total Token,Total Latency (sec) - Experiment,Total Cost ($) - Experiment,Total Input Token - Experiment,Total Output Token - Experiment
CES,CLAUDE-4,Compass,Crossrandom,cot,0.5518,0.5281,0.5557,0.5711,0.5184,0.4823,0.4875,0.4861,,,,,30.30±3.91,0.0374±0.0021,6945.4367,1.6195,0.0168,265.5547,1.9799,1102.0033,2414232.0,9091.2805,11.2099,2083631.0,330601.0
CES,GEMINI-2,Compass,Crossrandom,cot,0.404,0.4023,0.5466,0.5401,0.4848,0.4733,0.4949,0.4942,,,,,40.16±6.86,0.0457±0.0060,7581.2852,1.6195,0.0168,278.8989,1.494,3619.2013,3337745.0,11967.5824,13.6092,2259223.0,1078522.0
CES,GPT-5,Compass,Crossrandom,cot,0.6267,0.5527,0.5519,0.5576,0.6,0.5143,0.5184,0.516,,,,,38.08±8.94,0.0286±0.0032,6632.32,1.6195,0.0168,227.474,1.5756,2029.8067,2598638.0,11423.8879,8.5765,1989696.0,608942.0
CES,CLAUDE-4,Compass,Crossretrieval,cot,0.5819,0.5244,0.5299,0.5361,0.6355,0.5438,0.5551,0.5448,,,,,30.37±3.06,0.0369±0.0026,6761.0833,1.5335,0.7235,258.9996,1.9754,1105.5567,2359992.0,9111.9513,11.06,2028325.0,331667.0
CES,GEMINI-2,Compass,Crossretrieval,cot,0.4797,0.469,0.523,0.5284,0.5541,0.5064,0.5074,0.5079,,,,,41.49±6.32,0.0460±0.0063,7325.5318,1.5335,0.7235,265.3003,1.4463,3680.806,3290895.0,12404.4155,13.7435,2190334.0,1100561.0
CES,GPT-5,Compass,Crossretrieval,cot,0.67,0.5269,0.5386,0.5289,0.6533,0.5056,0.55,0.5258,,,,,35.77±9.04,0.0275±0.0032,6453.9433,1.5335,0.7235,234.8918,1.6776,1946.9667,2520273.0,10729.5052,8.2611,1936183.0,584090.0
CES,CLAUDE-4,Compass,Hybridblend,cot,0.7,0.6406,0.6357,0.6506,0.7067,0.622,0.6572,0.6164,,,,,30.72±3.08,0.0375±0.0021,6901.5867,1.5064,0.0165,261.1234,1.9529,1121.1833,2406831.0,9217.2181,11.2568,2070476.0,336355.0
CES,GEMINI-2,Compass,Hybridblend,cot,0.5892,0.5735,0.6077,0.636,0.6195,0.5829,0.5819,0.5874,,,,,40.93±6.13,0.0467±0.0063,7533.505,1.5064,0.0165,275.0877,1.4658,3726.5251,3366749.0,12238.8222,13.958,2252518.0,1114231.0
CES,GPT-5,Compass,Hybridblend,cot,0.7533,0.6406,0.6799,0.6288,0.74,0.6436,0.7246,0.6356,,,,,33.71±9.62,0.0260±0.0036,6588.8133,1.5064,0.0165,248.032,1.7798,1772.7367,2508465.0,10113.4745,7.789,1976644.0,531821.0
CES,GPT-oss,Compass,Hybridblend,cot,0.6892,0.6305,0.6258,0.6431,0.7128,0.6154,0.6589,0.61,,,,,30.57±88.21,0.0000±0.0000,6649.42,1.5064,0.0165,274.3193,1.9628,1735.9633,2515615.0,9170.3891,0.0,1994826.0,520789.0
CES,CLAUDE-4,Compass,Personalrecent,cot,0.7167,0.6524,0.6484,0.6581,0.6633,0.584,0.598,0.5817,,,,,30.73±3.17,0.0373±0.0023,6849.8133,1.5394,0.0077,259.1886,1.9526,1114.5233,2389301.0,9218.3865,11.1802,2054944.0,334357.0
CES,GEMINI-2,Compass,Personalrecent,cot,0.5926,0.5728,0.6014,0.6297,0.6599,0.6272,0.6249,0.6334,,,,,41.09±7.25,0.0465±0.0059,7476.9164,1.5394,0.0077,272.4738,1.4602,3718.7525,3347505.0,12285.6034,13.9136,2235598.0,1111907.0
CES,GPT-5,Compass,Personalrecent,cot,0.7833,0.6791,0.7361,0.661,0.7233,0.6153,0.6967,0.6125,,,,,34.66±9.67,0.0265±0.0035,6536.48,1.5394,0.0077,241.5146,1.731,1834.8267,2511392.0,10398.5093,7.9557,1960944.0,550448.0
CES,GPT-oss,Compass,Personalrecent,cot,0.6701,0.6039,0.6006,0.6121,0.6976,0.6147,0.6491,0.6104,,,,,34.68±87.26,0.0000±0.0000,6594.6014,1.5394,0.0077,248.8237,1.7302,2034.2365,2554136.0,10264.8429,0.0,1952002.0,602134.0
CES,CLAUDE-4,Compass,ZeroShot,cot,0.61,0.5281,0.528,0.5306,0.5933,0.5095,0.5125,0.5111,,,,,31.46±3.55,0.0238±0.0021,2149.7133,1.5536,0.0,105.1888,1.9071,1159.7333,992834.0,9438.5924,7.1535,644914.0,347920.0
CES,GEMINI-2,Compass,ZeroShot,cot,0.4281,0.428,0.537,0.5382,0.4783,0.4692,0.4956,0.495,,,,,42.02±5.49,0.0407±0.0043,2190.194,1.5536,0.0,142.5419,1.4278,3799.806,1791010.0,12564.7985,12.18,654868.0,1136142.0
