N_shot,ICL_strategy,reasoning,model,depression_accuracy,depression_f1_macro,depression_precision,depression_recall,anxiety_accuracy,anxiety_f1_macro,anxiety_precision,anxiety_recall,stress_accuracy,stress_f1_macro,stress_precision,stress_recall,prompt_avg,prompt_std,completion_avg,completion_std,avg_per_request,std_per_request,avg_seconds,std_seconds,per_sample_usd,per_sample_std,depression_accuracy_ci,depression_f1_macro_ci,depression_precision_ci,depression_recall_ci,anxiety_accuracy_ci,anxiety_f1_macro_ci,anxiety_precision_ci,anxiety_recall_ci,stress_accuracy_ci,stress_f1_macro_ci,stress_precision_ci,stress_recall_ci
0-shot,None,Direct,GPT-5,0.6666666666666666,0.5034427966101696,0.51652510301909,0.5110772873329951,0.6366666666666667,0.504357711254263,0.5307539682539683,0.5188918795388756,0.5733333333333334,0.5516323385175844,0.5817967409948542,0.5678704856787049,1860.89,110.34306155501275,1584.9133333333334,357.16599197323114,3445.8033333333333,383.73526202607735,30.812037598292033,12.202902398617711,0.01817524583333333,0.0035874293194232605,"[0.613, 0.720]","[0.447, 0.560]","[0.446, 0.589]","[0.465, 0.560]","[0.580, 0.687]","[0.447, 0.561]","[0.457, 0.606]","[0.473, 0.566]","[0.517, 0.627]","[0.494, 0.605]","[0.517, 0.638]","[0.514, 0.615]"
0-shot,None,Direct,Claude Sonnet 4.5,0.587248322147651,0.5593358900684067,0.5766973636691947,0.5966604084883654,0.5805369127516778,0.5352754039049342,0.535338090383962,0.5375412541254125,0.5067114093959731,0.5067058545319415,0.5073990525603429,0.5073953823953824,1980.7133333333334,111.81623833574244,586.14,100.18985510852218,2566.8533333333335,146.18982575937204,16.49909522374471,2.701971242069959,0.014734240000000003,0.0015226469854828465,"[0.530, 0.644]","[0.503, 0.617]","[0.527, 0.629]","[0.533, 0.662]","[0.520, 0.634]","[0.473, 0.591]","[0.476, 0.590]","[0.476, 0.596]","[0.450, 0.564]","[0.450, 0.563]","[0.451, 0.564]","[0.451, 0.565]"
0-shot,None,Direct,Gemini 2.5 Pro,0.4633333333333333,0.4601602753964972,0.5373822605965464,0.5429561982073398,0.49666666666666665,0.4816874334946624,0.49902204836415365,0.4988827383068407,0.49,0.42184882417402475,0.49900461496697135,0.49951076320939336,2043.71,127.00650600133312,2808.0733333333333,427.6175720846322,4851.783333333334,440.6301885431314,31.5786367615064,5.088678412474019,0.030635370833333352,0.004272057697627413,"[0.410, 0.517]","[0.406, 0.514]","[0.486, 0.589]","[0.485, 0.603]","[0.443, 0.553]","[0.425, 0.536]","[0.446, 0.551]","[0.439, 0.557]","[0.433, 0.547]","[0.369, 0.473]","[0.411, 0.578]","[0.458, 0.538]"
0-shot,None,Direct,Llama-3.1 8b,0.6421404682274248,0.48815294776417884,0.49289493575207866,0.4946766338203647,0.5150501672240803,0.49176484379579155,0.5015527950310559,0.5017607430846178,0.5,0.46220461950268277,0.510841170323929,0.5074825332431824,1869.88,110.38915526445521,474.3666666666667,115.47019336415592,2344.2466666666664,159.92958603363198,5.687772907416026,1.2209186387033286,0.0,0.0,"[0.585, 0.696]","[0.431, 0.548]","[0.426, 0.565]","[0.447, 0.549]","[0.458, 0.572]","[0.433, 0.550]","[0.447, 0.556]","[0.442, 0.564]","[0.441, 0.554]","[0.404, 0.516]","[0.433, 0.577]","[0.456, 0.554]"
0-shot,None,Direct,Mistral 7B,0.6570048309178744,0.4833913318570073,0.4949152542372881,0.4968421052631579,0.648068669527897,0.45361473347060166,0.5453359425962165,0.5113562091503268,0.5125628140703518,0.5107838913247332,0.5130849753694582,0.5128787878787879,2233.8133333333335,132.6364649039706,550.7633333333333,212.79241995167237,2784.576666666667,270.77949969588826,5.822502479553223,2.0721433474017465,0.0,0.0,"[0.592, 0.721]","[0.417, 0.555]","[0.407, 0.592]","[0.445, 0.557]","[0.585, 0.708]","[0.400, 0.504]","[0.413, 0.680]","[0.478, 0.544]","[0.442, 0.583]","[0.439, 0.580]","[0.441, 0.585]","[0.442, 0.583]"
0-shot,None,Direct,gpt-oss-20b,0.46153846153846156,0.4591184368714958,0.5400790079007901,0.5453901914146563,0.5451505016722408,0.4916491649164917,0.4921944035346097,0.49188527100132695,0.5652173913043478,0.56215643867712,0.5699925712693843,0.5674858984689766,1921.6933333333334,110.26691535643056,1177.5433333333333,434.36351303436567,3099.2366666666667,483.1957926026352,27.21318557739258,20.155886324552096,0.0,0.0,"[0.405, 0.515]","[0.401, 0.512]","[0.489, 0.589]","[0.488, 0.599]","[0.488, 0.599]","[0.435, 0.544]","[0.436, 0.544]","[0.434, 0.546]","[0.508, 0.619]","[0.503, 0.615]","[0.512, 0.625]","[0.512, 0.620]"
0-shot,None,CoT,GPT-5,0.6633333333333333,0.4835608733445825,0.49529346622369874,0.4971249788601386,0.6433333333333333,0.49905585293153765,0.5334994462901439,0.5184348179371286,0.5466666666666666,0.5205640423031728,0.5505952380952381,0.5408290339797189,2002.89,110.34306155501275,2286.03,294.36953380629143,4288.92,328.9536952216832,40.716260007222495,8.904148150449418,0.025363912500000006,0.002966755062994261,"[0.607, 0.713]","[0.429, 0.534]","[0.422, 0.566]","[0.455, 0.539]","[0.587, 0.693]","[0.443, 0.550]","[0.458, 0.609]","[0.478, 0.558]","[0.490, 0.600]","[0.465, 0.578]","[0.488, 0.611]","[0.490, 0.591]"
0-shot,None,CoT,Claude Sonnet 4.5,0.61,0.5280672268907562,0.5280417269159264,0.530610519194994,0.5933333333333334,0.5095411663807891,0.5125150352253852,0.5110964399979686,0.51,0.5080266401900959,0.5087542087542087,0.5086728340152997,2149.713333333333,111.81623833574244,1159.7333333333333,137.96017138612467,3309.4466666666667,173.66325793199766,31.461974544525148,3.547920427079728,0.02384513999999999,0.002081583522321408,"[0.557, 0.663]","[0.473, 0.584]","[0.475, 0.585]","[0.474, 0.591]","[0.537, 0.650]","[0.451, 0.566]","[0.452, 0.577]","[0.458, 0.566]","[0.453, 0.567]","[0.451, 0.564]","[0.452, 0.566]","[0.453, 0.565]"
0-shot,None,CoT,Gemini 2.5 Pro,0.4280936454849498,0.42799127370364154,0.5370431893687708,0.5381849315068493,0.4782608695652174,0.46923076923076923,0.4955736224028907,0.4949712643678161,0.47157190635451507,0.3798309178743961,0.45458488228004956,0.4835871025526198,2190.1939799331103,126.63685142039752,3799.8060200668897,434.04376406952144,5990.0,456.1089760060758,42.022737606712006,5.486402901910036,0.04073580267558526,0.0043485069869817344,"[0.371, 0.482]","[0.370, 0.482]","[0.483, 0.587]","[0.482, 0.590]","[0.418, 0.535]","[0.410, 0.525]","[0.442, 0.547]","[0.434, 0.554]","[0.415, 0.528]","[0.333, 0.427]","[0.358, 0.555]","[0.446, 0.519]"
0-shot,None,CoT,Llama-3.1 8b,0.4876543209876543,0.477114524596539,0.523936170212766,0.5290598290598291,0.463855421686747,0.46149079642792057,0.5018278750952019,0.501984126984127,0.4774193548387097,0.4760235382496557,0.4803370786516854,0.4807307307307307,2011.88,110.38915526445521,596.7233333333334,126.71435115601109,2608.6033333333335,186.2233944904763,7.031976089477539,1.3521886891469972,0.0,0.0,"[0.406, 0.564]","[0.392, 0.552]","[0.450, 0.593]","[0.436, 0.611]","[0.386, 0.542]","[0.380, 0.541]","[0.429, 0.574]","[0.418, 0.583]","[0.395, 0.557]","[0.394, 0.555]","[0.397, 0.565]","[0.398, 0.565]"
