N_shot,ICL_strategy,reasoning,model,depression_accuracy,depression_f1_macro,depression_precision,depression_recall,anxiety_accuracy,anxiety_f1_macro,anxiety_precision,anxiety_recall,prompt_avg,prompt_std,completion_avg,completion_std,avg_per_request,std_per_request,avg_seconds,std_seconds,per_sample_usd,per_sample_std,depression_accuracy_ci,depression_f1_macro_ci,depression_precision_ci,depression_recall_ci,anxiety_accuracy_ci,anxiety_f1_macro_ci,anxiety_precision_ci,anxiety_recall_ci
0-shot,None,Direct,GPT-5,0.714975845410628,0.48091635498129887,0.483766739333541,0.4803672316384181,0.7922705314009661,0.5421296296296296,0.5570276497695853,0.5387931034482759,1764.5990338164252,37.09907871603507,1536.292270531401,342.38020802678983,3300.891304347826,346.1333415284092,23.346369699579505,7.095175905276376,0.01756867149758453,0.003426319890057911,"[0.667, 0.758]","[0.436, 0.527]","[0.445, 0.526]","[0.431, 0.532]","[0.754, 0.831]","[0.493, 0.602]","[0.496, 0.635]","[0.497, 0.590]"
0-shot,None,Direct,Claude Sonnet 4.5,0.5507246376811594,0.45433673469387753,0.5044871794871795,0.5088983050847458,0.5869565217391305,0.4595671590518722,0.4871589085072231,0.4780564263322884,1871.1256038647343,37.91668557410052,510.92028985507244,86.4289992257365,2382.045893719807,91.5194354905582,14.666883622966527,2.1720860564130033,0.01327718115942028,0.0012921880513047967,"[0.500, 0.599]","[0.406, 0.500]","[0.471, 0.539]","[0.439, 0.579]","[0.539, 0.630]","[0.413, 0.508]","[0.453, 0.526]","[0.417, 0.545]"
0-shot,None,Direct,Gemini 2.5 Pro,0.4441747572815534,0.3917074460197417,0.4890325670498084,0.47800931483170883,0.48058252427184467,0.4375175440834971,0.525882945308941,0.5478607847483928,1920.0193236714977,106.84975054633077,2693.5434782608695,404.2269257854191,4613.562801932367,453.85703410718924,33.39349868562486,7.0446720176478905,0.02933545893719806,0.004092359190575854,"[0.396, 0.490]","[0.348, 0.437]","[0.453, 0.525]","[0.410, 0.550]","[0.437, 0.532]","[0.393, 0.484]","[0.494, 0.563]","[0.488, 0.613]"
0-shot,None,Direct,Llama-3.1 8b,0.5560975609756098,0.4441464795447096,0.4883962077819475,0.4776190476190476,0.4121951219512195,0.36570397807149874,0.4577119856453529,0.42318534178999295,1774.5990338164252,37.09907871603507,452.3671497584541,122.29626845635786,2226.9661835748793,128.62937364638745,5.475704673407734,1.4232644351822605,0.0,0.0,"[0.507, 0.605]","[0.402, 0.486]","[0.457, 0.523]","[0.416, 0.547]","[0.366, 0.459]","[0.324, 0.408]","[0.422, 0.497]","[0.360, 0.494]"
0-shot,None,Direct,Mistral 7B,0.6655172413793103,0.46694207045536373,0.4890215369848221,0.47897518382352944,0.6948051948051948,0.49409380023764593,0.4992420107937663,0.49894381073088295,2110.6642512077296,51.645071010746136,589.0869565217391,138.45167689377615,2699.7512077294687,155.05435679574862,6.211572196172631,1.4813786916978087,0.0,0.0,"[0.608, 0.724]","[0.417, 0.524]","[0.450, 0.532]","[0.403, 0.568]","[0.641, 0.748]","[0.438, 0.548]","[0.452, 0.547]","[0.433, 0.564]"
0-shot,None,Direct,gpt-oss-20b,0.42028985507246375,0.3779580797836376,0.48671602787456447,0.4741525423728814,0.5797101449275363,0.48174048174048173,0.5161149825783972,0.5289968652037618,1825.5990338164252,37.09907871603507,1076.3285024154588,363.94279864450795,2901.927536231884,370.62912901004074,11.156445222776293,5.481919820524794,0.0,0.0,"[0.374, 0.469]","[0.331, 0.423]","[0.450, 0.522]","[0.406, 0.546]","[0.529, 0.628]","[0.435, 0.529]","[0.481, 0.552]","[0.466, 0.596]"
0-shot,None,CoT,GPT-5,0.7420924574209246,0.4755633667180278,0.47523688580638856,0.4759259259259259,0.7712895377128953,0.5067160367722165,0.5118900173396086,0.5084321475625824,1906.5990338164252,37.09907871603507,2290.647342995169,305.52393626856303,4197.246376811594,309.1350754185333,34.77671462211056,7.875986314690582,0.025289722222222238,0.003057315663594658,"[0.698, 0.781]","[0.437, 0.519]","[0.435, 0.520]","[0.437, 0.520]","[0.732, 0.810]","[0.458, 0.561]","[0.453, 0.581]","[0.469, 0.558]"
0-shot,None,CoT,Claude Sonnet 4.5,0.5120772946859904,0.42889532342657344,0.49318947762591275,0.4862994350282486,0.6231884057971014,0.4591498341875188,0.475765306122449,0.4627742946708464,2040.1256038647343,37.91668557410052,1047.5144927536232,116.30290508834712,3087.6400966183573,124.31827019913314,28.292651439634497,3.5596377904677903,0.021833094202898532,0.0017545557796432227,"[0.464, 0.558]","[0.384, 0.474]","[0.461, 0.528]","[0.420, 0.558]","[0.582, 0.669]","[0.419, 0.503]","[0.442, 0.512]","[0.411, 0.519]"
0-shot,None,CoT,Gemini 2.5 Pro,0.3808353808353808,0.3578512396694215,0.49557988645579887,0.4921469740634006,0.4963144963144963,0.4517816193911678,0.5323687423687424,0.5588954056695992,2060.3357664233577,152.54610937271795,3370.014598540146,511.2058829617644,5430.350364963504,597.01671462059,40.4602369125162,8.801504191596159,0.036275565693430635,0.005202628680424714,"[0.334, 0.428]","[0.314, 0.404]","[0.457, 0.531]","[0.425, 0.557]","[0.442, 0.545]","[0.402, 0.501]","[0.496, 0.571]","[0.491, 0.627]"
0-shot,None,CoT,Llama-3.1 8b,0.46440677966101696,0.41591478696741857,0.5173992673992673,0.5355771077395813,0.47194719471947194,0.42910975035327364,0.5185070122492456,0.5340686274509804,1916.5990338164252,37.09907871603507,649.4541062801933,145.02902115056864,2566.0531400966183,153.22723827084664,7.562783908728816,1.5146920022205839,0.0,0.0,"[0.406, 0.520]","[0.361, 0.467]","[0.480, 0.555]","[0.454, 0.611]","[0.419, 0.531]","[0.372, 0.485]","[0.476, 0.557]","[0.456, 0.609]"
0-shot,None,CoT,Mistral 7B,0.4594594594594595,0.41686367218282117,0.5052083333333334,0.5094086021505376,0.5569620253164557,0.45624385447394294,0.4930186170212766,0.4877622377622378,2285.6642512077296,51.645071010746136,555.1328502415458,138.5341626995713,2840.7971014492755,152.7707619018819,5.905513497366422,1.344951944242139,0.0,0.0,"[0.376, 0.540]","[0.341, 0.498]","[0.444, 0.565]","[0.393, 0.614]","[0.480, 0.635]","[0.384, 0.527]","[0.434, 0.548]","[0.384, 0.580]"
