N_shot,ICL_strategy,reasoning,model,depression_accuracy,depression_f1_macro,depression_precision,depression_recall,anxiety_accuracy,anxiety_f1_macro,anxiety_precision,anxiety_recall,stress_accuracy,stress_f1_macro,stress_precision,stress_recall,prompt_avg,prompt_std,completion_avg,completion_std,avg_per_request,std_per_request,avg_seconds,std_seconds,per_sample_usd,per_sample_std,depression_accuracy_ci,depression_f1_macro_ci,depression_precision_ci,depression_recall_ci,anxiety_accuracy_ci,anxiety_f1_macro_ci,anxiety_precision_ci,anxiety_recall_ci,stress_accuracy_ci,stress_f1_macro_ci,stress_precision_ci,stress_recall_ci
0-shot,None,Direct,GPT-5,0.675,0.45540614134305224,0.45411255411255413,0.4569525666016894,0.63,0.5066666666666666,0.5185185185185185,0.5281385281385281,0.505,0.5013975976429704,0.5110340479192939,0.5105263157894737,1455.915,8.790209041882907,1442.72,287.45886940569426,2898.635,289.6615469388369,39.1643840444088,12.757550281246658,0.01624709375,0.002877204402001783,"[0.610, 0.740]","[0.401, 0.516]","[0.398, 0.519]","[0.401, 0.518]","[0.565, 0.695]","[0.441, 0.573]","[0.466, 0.574]","[0.448, 0.609]","[0.430, 0.570]","[0.425, 0.565]","[0.433, 0.579]","[0.437, 0.575]"
0-shot,None,Direct,Claude Sonnet 4.5,0.31,0.30937844059653685,0.5386904761904762,0.5337881741390513,0.38,0.3749369896158887,0.5420356821974073,0.5567099567099567,0.495,0.4503550923784386,0.517056530214425,0.5105263157894737,1573.645,9.647744555076072,526.31,49.5117551698584,2099.955,50.47259627758414,13.90520192861557,1.5166769471267254,0.012615584999999993,0.000743330607990146,"[0.250, 0.375]","[0.245, 0.374]","[0.466, 0.599]","[0.473, 0.584]","[0.315, 0.455]","[0.308, 0.445]","[0.485, 0.596]","[0.479, 0.624]","[0.425, 0.565]","[0.378, 0.517]","[0.425, 0.601]","[0.455, 0.563]"
0-shot,None,Direct,Gemini 2.5 Pro,0.27638190954773867,0.2741641337386018,0.5033376399655469,0.5025335076822491,0.32160804020100503,0.32160804020100503,0.5547038327526133,0.5547038327526133,0.457286432160804,0.3215909090909091,0.31649395509499134,0.47849190283400805,1528.36,10.489537644720096,2767.955,335.4482567774052,4296.315,333.82051431120885,34.33716193318367,5.069691526334349,0.029589999999999988,0.0033522727178736515,"[0.211, 0.337]","[0.210, 0.336]","[0.427, 0.576]","[0.442, 0.559]","[0.261, 0.387]","[0.261, 0.386]","[0.500, 0.605]","[0.500, 0.604]","[0.387, 0.528]","[0.282, 0.359]","[0.205, 0.493]","[0.453, 0.500]"
0-shot,None,Direct,Llama-3.1 8b,0.6446700507614214,0.48789364230540705,0.49136054421768705,0.489490235021516,0.5989847715736041,0.4932104594744212,0.5132222222222222,0.5209876543209877,0.5333333333333333,0.5332842376581363,0.5339473684210526,0.5339974699557242,1456.915,8.790209041882907,468.065,118.66225505610451,1924.98,119.60848464887431,5.464814786911011,1.2760664953202434,0.0,0.0,"[0.579, 0.706]","[0.424, 0.554]","[0.431, 0.552]","[0.420, 0.566]","[0.528, 0.665]","[0.420, 0.560]","[0.452, 0.566]","[0.425, 0.611]","[0.464, 0.600]","[0.463, 0.600]","[0.466, 0.602]","[0.466, 0.602]"
0-shot,None,Direct,Mistral 7B,0.7639751552795031,0.4797619047619048,0.48299319727891155,0.4906015037593985,0.8033707865168539,0.472168092857748,0.48663324979114453,0.4963963963963964,0.5,0.4375,0.46967741935483875,0.48060736095065193,1720.2,11.0,505.325,203.05752725520912,2225.525,204.77216455123974,5.117297477722168,1.925748121816612,0.0,0.0,"[0.699, 0.825]","[0.421, 0.554]","[0.396, 0.591]","[0.442, 0.551]","[0.742, 0.864]","[0.430, 0.545]","[0.391, 0.663]","[0.467, 0.543]","[0.427, 0.577]","[0.362, 0.517]","[0.369, 0.567]","[0.417, 0.543]"
0-shot,None,Direct,gpt-oss-20b,0.29743589743589743,0.29476518571315435,0.4293103448275862,0.4140965471002347,0.6410256410256411,0.5021155529617741,0.509534706331045,0.5133928571428572,0.5076923076923077,0.5066413662239089,0.5066413662239089,0.5066413662239089,1515.44,13.088407084133653,978.335,380.3807996928867,2493.775,382.5468002414868,29.885887018442155,17.736225717278295,0.0,0.0,"[0.231, 0.359]","[0.228, 0.357]","[0.353, 0.494]","[0.331, 0.491]","[0.574, 0.703]","[0.434, 0.571]","[0.449, 0.569]","[0.431, 0.596]","[0.441, 0.574]","[0.440, 0.574]","[0.440, 0.575]","[0.440, 0.575]"
0-shot,None,CoT,GPT-5,0.7,0.49186991869918695,0.4918497519489724,0.49252761533463285,0.62,0.5122577332819921,0.5281144229719401,0.5445887445887446,0.555,0.5509472993768763,0.5647283531409168,0.5611528822055138,1597.915,8.790209041882907,1937.32,239.72333553494536,3535.235,241.09404757272625,48.35546128511429,15.090699028513667,0.021370593750000007,0.0023987748791619522,"[0.640, 0.760]","[0.427, 0.563]","[0.425, 0.573]","[0.430, 0.565]","[0.555, 0.680]","[0.444, 0.579]","[0.477, 0.584]","[0.460, 0.631]","[0.485, 0.620]","[0.480, 0.615]","[0.491, 0.631]","[0.492, 0.624]"
0-shot,None,CoT,Claude Sonnet 4.5,0.36180904522613067,0.35654454260763296,0.4961913086913087,0.4950147106897679,0.4120603015075377,0.4033824471492633,0.5527239709443099,0.5758710801393728,0.48743718592964824,0.45981477538854587,0.5019727891156462,0.5014690982776089,1742.645,9.647744555076072,983.485,111.700312331703,2726.13,112.7155849916062,26.31485030055046,2.451810054727105,0.01998021,0.001677563130227891,"[0.296, 0.427]","[0.292, 0.419]","[0.433, 0.556]","[0.411, 0.573]","[0.342, 0.482]","[0.335, 0.470]","[0.501, 0.603]","[0.501, 0.645]","[0.412, 0.558]","[0.386, 0.529]","[0.412, 0.582]","[0.437, 0.563]"
0-shot,None,CoT,Gemini 2.5 Pro,0.23232323232323232,0.22272727272727272,0.4684065934065934,0.48486842105263156,0.30303030303030304,0.3023897058823529,0.5631503774739849,0.5542506573181419,0.4898989898989899,0.35329689874850434,0.7410256410256411,0.5144230769230769,1666.37,118.61889857859919,3571.46,449.55778093588816,5237.83,525.1051714656788,43.35945957541466,6.640530673941837,0.037797562499999986,0.004580037107092447,"[0.177, 0.293]","[0.167, 0.277]","[0.353, 0.573]","[0.427, 0.532]","[0.237, 0.369]","[0.237, 0.369]","[0.504, 0.616]","[0.503, 0.600]","[0.419, 0.556]","[0.308, 0.403]","[0.240, 0.774]","[0.500, 0.533]"
0-shot,None,CoT,Llama-3.1 8b,0.38392857142857145,0.3614806246385194,0.43764510779436155,0.4109848484848485,0.45217391304347826,0.43508771929824563,0.5142857142857143,0.52,0.5242718446601942,0.5125084516565247,0.5250829187396351,0.5228129713423831,1598.915,8.790209041882907,549.19,141.20298828282637,2148.105,141.69143931444836,6.350272070169449,1.4871502429349783,0.0,0.0,"[0.298, 0.474]","[0.276, 0.449]","[0.357, 0.516]","[0.293, 0.523]","[0.357, 0.539]","[0.342, 0.517]","[0.433, 0.590]","[0.410, 0.627]","[0.437, 0.617]","[0.425, 0.607]","[0.438, 0.626]","[0.444, 0.613]"
