dataset,N_shot,ICL_strategy,reasoning,model,depression_accuracy,depression_f1_macro,depression_precision,depression_recall,anxiety_accuracy,anxiety_f1_macro,anxiety_precision,anxiety_recall,stress_accuracy,stress_f1_macro,stress_precision,stress_recall,prompt_avg,prompt_std,completion_avg,completion_std,avg_per_request,std_per_request,avg_seconds,std_seconds,per_sample_usd,per_sample_std,depression_accuracy_ci,depression_f1_macro_ci,depression_precision_ci,depression_recall_ci,anxiety_accuracy_ci,anxiety_f1_macro_ci,anxiety_precision_ci,anxiety_recall_ci,stress_accuracy_ci,stress_f1_macro_ci,stress_precision_ci,stress_recall_ci
ces,0-shot,None,Direct,GPT-5,0.667,0.503,0.517,0.511,0.637,0.504,0.531,0.519,0.573,0.552,0.582,0.568,1860.9,110.3,1584.9,357.2,3445.8,383.7,30.8120,12.2029,0.018,0.004,"[0.613, 0.720]","[0.447, 0.560]","[0.446, 0.589]","[0.465, 0.560]","[0.580, 0.687]","[0.447, 0.561]","[0.457, 0.606]","[0.473, 0.566]","[0.517, 0.627]","[0.494, 0.605]","[0.517, 0.638]","[0.514, 0.615]"
ces,0-shot,None,Direct,Claude Sonnet 4.5,0.587,0.559,0.577,0.597,0.581,0.535,0.535,0.538,0.507,0.507,0.507,0.507,1980.7,111.8,586.1,100.2,2566.9,146.2,16.4991,2.7020,0.015,0.002,"[0.530, 0.644]","[0.503, 0.617]","[0.527, 0.629]","[0.533, 0.662]","[0.520, 0.634]","[0.473, 0.591]","[0.476, 0.590]","[0.476, 0.596]","[0.450, 0.564]","[0.450, 0.563]","[0.451, 0.564]","[0.451, 0.565]"
ces,0-shot,None,Direct,Gemini 2.5 Pro,0.463,0.460,0.537,0.543,0.497,0.482,0.499,0.499,0.490,0.422,0.499,0.500,2043.7,127.0,2808.1,427.6,4851.8,440.6,31.5786,5.0887,0.031,0.004,"[0.410, 0.517]","[0.406, 0.514]","[0.486, 0.589]","[0.485, 0.603]","[0.443, 0.553]","[0.425, 0.536]","[0.446, 0.551]","[0.439, 0.557]","[0.433, 0.547]","[0.369, 0.473]","[0.411, 0.578]","[0.458, 0.538]"
ces,0-shot,None,Direct,Llama-3.1 8b,0.642,0.488,0.493,0.495,0.515,0.492,0.502,0.502,0.500,0.462,0.511,0.507,1869.9,110.4,474.4,115.5,2344.2,159.9,5.6878,1.2209,-,-,"[0.585, 0.696]","[0.431, 0.548]","[0.426, 0.565]","[0.447, 0.549]","[0.458, 0.572]","[0.433, 0.550]","[0.447, 0.556]","[0.442, 0.564]","[0.441, 0.554]","[0.404, 0.516]","[0.433, 0.577]","[0.456, 0.554]"
ces,0-shot,None,Direct,Mistral 7B,0.657,0.483,0.495,0.497,0.648,0.454,0.545,0.511,0.513,0.511,0.513,0.513,2233.8,132.6,550.8,212.8,2784.6,270.8,5.8225,2.0721,-,-,"[0.592, 0.721]","[0.417, 0.555]","[0.407, 0.592]","[0.445, 0.557]","[0.585, 0.708]","[0.400, 0.504]","[0.413, 0.680]","[0.478, 0.544]","[0.442, 0.583]","[0.439, 0.580]","[0.441, 0.585]","[0.442, 0.583]"
ces,0-shot,None,Direct,gpt-oss-20b,0.462,0.459,0.540,0.545,0.545,0.492,0.492,0.492,0.565,0.562,0.570,0.567,1921.7,110.3,1177.5,434.4,3099.2,483.2,27.2132,20.1559,-,-,"[0.405, 0.515]","[0.401, 0.512]","[0.489, 0.589]","[0.488, 0.599]","[0.488, 0.599]","[0.435, 0.544]","[0.436, 0.544]","[0.434, 0.546]","[0.508, 0.619]","[0.503, 0.615]","[0.512, 0.625]","[0.512, 0.620]"
ces,0-shot,None,CoT,GPT-5,0.663,0.484,0.495,0.497,0.643,0.499,0.533,0.518,0.547,0.521,0.551,0.541,2002.9,110.3,2286.0,294.4,4288.9,329.0,40.7163,8.9041,0.025,0.003,"[0.607, 0.713]","[0.429, 0.534]","[0.422, 0.566]","[0.455, 0.539]","[0.587, 0.693]","[0.443, 0.550]","[0.458, 0.609]","[0.478, 0.558]","[0.490, 0.600]","[0.465, 0.578]","[0.488, 0.611]","[0.490, 0.591]"
ces,0-shot,None,CoT,Claude Sonnet 4.5,0.610,0.528,0.528,0.531,0.593,0.510,0.513,0.511,0.510,0.508,0.509,0.509,2149.7,111.8,1159.7,138.0,3309.4,173.7,31.4620,3.5479,0.024,0.002,"[0.557, 0.663]","[0.473, 0.584]","[0.475, 0.585]","[0.474, 0.591]","[0.537, 0.650]","[0.451, 0.566]","[0.452, 0.577]","[0.458, 0.566]","[0.453, 0.567]","[0.451, 0.564]","[0.452, 0.566]","[0.453, 0.565]"
ces,0-shot,None,CoT,Gemini 2.5 Pro,0.428,0.428,0.537,0.538,0.478,0.469,0.496,0.495,0.472,0.380,0.455,0.484,2190.2,126.6,3799.8,434.0,5990.0,456.1,42.0227,5.4864,0.041,0.004,"[0.371, 0.482]","[0.370, 0.482]","[0.483, 0.587]","[0.482, 0.590]","[0.418, 0.535]","[0.410, 0.525]","[0.442, 0.547]","[0.434, 0.554]","[0.415, 0.528]","[0.333, 0.427]","[0.358, 0.555]","[0.446, 0.519]"
ces,0-shot,None,CoT,Llama-3.1 8b,0.488,0.477,0.524,0.529,0.464,0.461,0.502,0.502,0.477,0.476,0.480,0.481,2011.9,110.4,596.7,126.7,2608.6,186.2,7.0320,1.3522,-,-,"[0.406, 0.564]","[0.392, 0.552]","[0.450, 0.593]","[0.436, 0.611]","[0.386, 0.542]","[0.380, 0.541]","[0.429, 0.574]","[0.418, 0.583]","[0.395, 0.557]","[0.394, 0.555]","[0.397, 0.565]","[0.398, 0.565]"
