,Dataset,Shot,ICL Strategy,Reasoning,Model,Accuracy (Depression),Macro F1 (Depression),Precision (Depression),Recall (Depression),Accuracy (Anxiety),Macro F1 (Anxiety),Precision (Anxiety),Recall (Anxiety),Accuracy (Stress),Macro F1 (Stress),Precision (Stress),Recall (Stress),prompt_tokens,completion_tokens,total_tokens,latency,cost
,mentaliot,zeroshot,none,direct,GPT-5,0.675,0.4554,0.4541,0.457,0.63,0.5067,0.5185,0.5281,0.505,0.5014,0.511,0.5105,1455.915,1442.72,2898.635,39.1644,3.2494
,mentaliot,zeroshot,none,direct,CLAUDE-4.5,0.31,0.3094,0.5387,0.5338,0.38,0.3749,0.542,0.5567,0.495,0.4504,0.5171,0.5105,1573.645,526.31,2099.955,13.9052,2.5231
,mentaliot,zeroshot,none,direct,GEMINI-2.5-PRO,0.2764,0.2742,0.5033,0.5025,0.3216,0.3216,0.5547,0.5547,0.4573,0.3216,0.3165,0.4785,1528.3467,2769.5276,4297.8744,34.3627,5.8915
,mentaliot,zeroshot,none,direct,gpt-oss-20b,0.2974,0.2948,0.4293,0.4141,0.641,0.5021,0.5095,0.5134,0.5077,0.5066,0.5066,0.5066,1515.4821,978.7026,2494.1846,30.388,0
,mentaliot,zeroshot,none,direct,LLAMA-3.1-8B,0.6447,0.4879,0.4914,0.4895,0.599,0.4932,0.5132,0.521,0.5381,0.5381,0.5388,0.5388,1457.0254,467.8985,1924.9239,5.4628,0
,mentaliot,zeroshot,none,direct,MISTRAL-7b,0.6952,0.5247,0.5241,0.5266,0.7754,0.4981,0.509,0.5049,0.4866,0.4633,0.4697,0.4729,1720.6578,513.139,2233.7968,5.1924,0
,,,,,,,,,,,,,,,,,,,,,,
,mentaliot,zeroshot,none,cot,GPT-5,0.7,0.4919,0.4918,0.4925,0.62,0.5123,0.5281,0.5446,0.555,0.5509,0.5647,0.5612,1597.915,1937.32,3535.235,48.3555,4.2741
,mentaliot,zeroshot,none,cot,CLAUDE-4.5,0.3618,0.3565,0.4962,0.495,0.4121,0.4034,0.5527,0.5759,0.4874,0.4598,0.502,0.5015,1742.6281,988.4221,2731.0503,26.3251,3.9908
,mentaliot,zeroshot,none,cot,GEMINI-2.5-PRO,0.2323,0.2227,0.4684,0.4849,0.303,0.3024,0.5632,0.5543,0.4899,0.3533,0.741,0.5144,1666.2879,3569.6364,5235.9242,43.3241,7.4803
,mentaliot,zeroshot,none,cot,gpt-oss-20b,0.7,0.4919,0.4918,0.4925,0.62,0.5123,0.5281,0.5446,0.555,0.5509,0.5647,0.5612,1597.915,1937.32,3535.235,48.3555,4.2741
,mentaliot,zeroshot,none,cot,LLAMA-3.1-8B,0.3739,0.3523,0.4341,0.405,0.4522,0.4351,0.5143,0.52,0.5217,0.5181,0.5216,0.521,1600.6957,557.2783,2157.9739,6.4395,0
,mentaliot,zeroshot,none,cot,MISTRAL-7b,0.5241,0.4709,0.5264,0.5448,0.6621,0.5341,0.5411,0.5637,0.4483,0.4482,0.4587,0.4589,1895.9655,451.9103,2347.8759,4.6506,0
,,,,,,,,,,,,,,,,,,,,,,
,mentaliot,4shot,crossrandom,cot,GPT-5,0.685,0.4934,0.4935,0.4933,0.615,0.5145,0.5327,0.5528,0.49,0.4825,0.497,0.4972,2249.425,1859.42,4108.845,46.2904,4.2812
,mentaliot,4shot,crossrandom,cot,CLAUDE-4.5,0.34,0.3376,0.4933,0.4919,0.315,0.3146,0.5156,0.5173,0.465,0.3927,0.4635,0.4835,2433.34,983.6,3416.94,25.9564,4.4108
,mentaliot,4shot,crossrandom,cot,GEMINI-2.5-PRO,0.2538,0.2489,0.4806,0.4877,0.3706,0.3678,0.5574,0.5731,0.4772,0.3392,0.5704,0.5042,2380.8477,3281.8173,5662.665,39.9822,7.0515
,mentaliot,4shot,crossrandom,cot,gpt-oss-20b,0.3553,0.351,0.4926,0.4905,0.6599,0.5213,0.5256,0.5356,0.5431,0.5405,0.5512,0.5491,2310.6294,1665.9543,3976.5838,35.6015,0
,,,,,,,,,,,,,,,,,,,,,,
,mentaliot,4shot,crossretrieval,cot,GPT-5,0.74,0.4757,0.4778,0.487,0.705,0.5433,0.5416,0.5511,0.495,0.4904,0.4913,0.4915,4014.525,1759.4,5773.925,44.977,4.5224
,mentaliot,4shot,crossretrieval,cot,CLAUDE-4.5,0.4824,0.4307,0.4871,0.4791,0.5226,0.4636,0.5177,0.5306,0.5025,0.5021,0.5058,0.5057,4243.6131,990.0854,5233.6985,25.9674,5.4888
,mentaliot,4shot,crossretrieval,cot,GEMINI-2.5-PRO,0.3553,0.3529,0.5086,0.5105,0.3756,0.3733,0.5608,0.5756,0.4873,0.4083,0.5244,0.5093,4356.8376,3589.8071,7946.6447,43.6612,8.1448
,mentaliot,4shot,crossretrieval,cot,gpt-oss-20b,0.3743,0.3638,0.4621,0.449,0.6313,0.5102,0.5163,0.5221,0.4581,0.457,0.4585,0.459,4074.4078,1838.6927,5913.1006,38.6677,0
,,,,,,,,,,,,,,,,,,,,,,
,mentaliot,4shot,personalrecent,cot,GPT-5,0.75,0.5571,0.5647,0.5536,0.68,0.5412,0.5423,0.5584,0.505,0.5035,0.5092,0.509,2195.14,1897.48,4092.62,47.0972,4.3437
,mentaliot,4shot,personalrecent,cot,CLAUDE-4.5,0.5226,0.5025,0.5938,0.6447,0.4975,0.4729,0.5708,0.6165,0.5075,0.4969,0.5171,0.5152,2377.9246,947.7337,3325.6583,25.0971,4.2486
,mentaliot,4shot,personalrecent,cot,GEMINI-2.5-PRO,0.2386,0.2298,0.4768,0.4882,0.3553,0.3551,0.5788,0.5856,0.467,0.3341,0.4344,0.4935,2321.1523,3520.3198,5841.4721,42.1718,7.5066
,mentaliot,4shot,personalrecent,cot,gpt-oss-20b,0.41,0.4052,0.5575,0.5754,0.625,0.5097,0.5234,0.5364,0.545,0.5424,0.5429,0.5426,2256.14,1611.81,3867.95,26.6091,0
,,,,,,,,,,,,,,,,,,,,,,
,mentaliot,4shot,hybridblend,cot,GPT-5,0.75,0.5571,0.5647,0.5536,0.715,0.5742,0.57,0.5909,0.555,0.555,0.5561,0.5561,2211.19,1908.6,4119.79,47.3797,4.37
,mentaliot,4shot,hybridblend,cot,CLAUDE-4.5,0.52,0.502,0.6002,0.6533,0.48,0.4645,0.5893,0.6398,0.545,0.5289,0.5674,0.5556,2393.875,962.15,3356.025,25.3068,4.3228
,mentaliot,4shot,hybridblend,cot,GEMINI-2.5-PRO,0.2915,0.2897,0.528,0.5219,0.3518,0.3494,0.5316,0.5393,0.4774,0.3314,0.4886,0.4995,2347.6633,3641.4623,5989.1256,44.0571,7.8305
,mentaliot,4shot,hybridblend,cot,gpt-oss-20b,0.4322,0.4238,0.5567,0.5787,0.7085,0.5546,0.552,0.5647,0.5176,0.5148,0.5154,0.5152,2272.1709,1526.1407,3798.3116,24.7845,0
